Tenure,WarehouseToHome,NumberOfDeviceRegistered,PreferedOrderCat,SatisfactionScore,MaritalStatus,NumberOfAddress,Complain,DaySinceLastOrder,CashbackAmount,Churn
29,9,5,Mobile Phone,1,Married,10,0,5,152,0
7,14,3,Laptop & Accessory,5,Married,4,0,0,151,0
14,15,4,Laptop & Accessory,5,Married,4,1,1,190,0
5,9,6,Mobile Phone,1,Married,6,1,1,153,1
5,14,5,Mobile Phone,3,Married,5,0,3,148,0
2,15,5,Mobile Phone,2,Married,3,0,5,174,0
3,7,6,Mobile Phone,2,Married,3,0,9,152,0
0,12,3,Mobile Phone,1,Married,2,1,2,56,0
11,20,3,Laptop & Accessory,4,Married,1,0,7,199,0
6,6,1,Grocery,3,Married,5,0,5,262,0
2,15,5,Mobile Phone,1,Married,3,0,5,174,0
1,9,4,Mobile Phone,4,Married,6,0,3,147,0
14,15,3,Fashion,3,Married,4,1,7,182,0
1,10,4,Mobile Phone,1,Single,3,1,1,141,1
3,11,4,Mobile Phone,2,Married,10,0,3,138,0
26,9,5,Mobile Phone,2,Single,9,0,3,157,0
1,20,5,Laptop & Accessory,5,Married,7,1,3,186,1
5,16,3,Laptop & Accessory,1,Single,9,0,0,146,0
13,14,3,Laptop & Accessory,5,Married,3,1,0,165,0
4,8,3,Laptop & Accessory,2,Single,5,1,5,166,0
0,,3,Mobile,2,Divorced,1,0,1,124,0
1,32,5,Mobile Phone,4,Single,6,1,3,148,1
30,11,4,Others,5,Married,6,0,3,324,0
0,26,5,Laptop & Accessory,3,Divorced,4,1,2,146,1
,8,4,Mobile,3,Single,7,1,0,121,1
17,11,5,Fashion,2,Single,5,0,,227,0
26,15,4,Mobile Phone,5,Divorced,11,0,5,154,0
5,25,1,Mobile,3,Married,7,1,2,128,1
0,,4,Mobile,3,Divorced,2,0,2,125,0
19,6,3,Fashion,5,Married,2,0,7,205,0
8,,4,Mobile,5,Single,2,0,2,124,0
,12,3,Laptop & Accessory,3,Married,3,1,5,123,0
,9,3,Mobile Phone,1,Married,2,0,0,117,0
1,20,5,Mobile Phone,5,Married,6,1,1,148,1
9,13,3,Mobile Phone,2,Single,3,0,1,147,0
1,10,4,Mobile Phone,3,Single,3,0,8,166,1
8,11,4,Laptop & Accessory,3,Divorced,11,0,3,190,0
26,7,4,Grocery,3,Married,5,1,,230,0
2,16,4,Mobile Phone,3,Married,7,0,3,149,0
,22,3,Mobile,3,Single,2,0,4,121,0
4,14,4,Laptop & Accessory,3,Married,3,0,10,160,0
16,30,4,Grocery,2,Single,4,0,1,285,0
1,12,4,Mobile Phone,4,Single,3,1,3,150,0
9,23,4,Fashion,3,Married,6,1,1,201,0
2,26,3,Mobile Phone,1,Married,2,0,10,138,0
10,14,3,Laptop & Accessory,4,Married,3,0,7,141,0
1,14,5,Laptop & Accessory,3,Divorced,4,0,1,186,0
23,,3,Mobile,1,Married,5,0,0,124,0
21,9,2,Grocery,4,Married,8,0,3,285,0
26,13,4,Fashion,1,Married,8,1,,209,0
11,16,3,Laptop & Accessory,3,Married,4,0,2,161,0
31,10,5,Laptop & Accessory,1,Single,7,0,6,177,0
14,12,5,Fashion,5,Divorced,7,1,,230,0
4,11,3,Laptop & Accessory,5,Single,1,0,7,199,0
17,34,3,Grocery,5,Divorced,4,0,17,263,0
7,10,3,Laptop & Accessory,3,Married,10,0,2,165,0
20,8,3,Others,4,Single,8,1,8,292,1
8,29,5,Laptop & Accessory,1,Married,3,1,12,182,0
1,16,6,Mobile Phone,4,Single,3,0,3,153,1
17,31,4,Fashion,5,Single,8,1,,229,1
27,13,4,Laptop & Accessory,3,Divorced,4,1,6,148,0
16,7,5,Laptop & Accessory,2,Divorced,11,1,3,186,0
16,9,4,Laptop & Accessory,1,Married,3,0,3,166,0
,13,3,Mobile Phone,3,Married,2,0,0,113,0
10,33,4,Laptop & Accessory,3,Married,8,0,3,178,0
10,30,2,Laptop & Accessory,1,Married,6,0,4,151,0
3,11,3,Mobile,5,Married,6,0,30,132,0
0,24,1,Laptop & Accessory,3,Divorced,3,0,2,162,0
12,16,3,Laptop & Accessory,5,Married,3,0,7,154,0
6,17,4,Laptop & Accessory,1,Single,10,0,1,171,0
11,18,4,Laptop & Accessory,5,Married,3,0,2,163,0
6,7,5,Mobile Phone,4,Married,2,0,3,148,0
4,6,3,Laptop & Accessory,5,Married,2,0,3,141,0
17,9,4,Mobile Phone,1,Single,2,0,9,160,0
7,21,3,Fashion,2,Divorced,2,0,5,180,1
8,15,4,Laptop & Accessory,5,Married,7,0,3,190,0
15,9,5,Laptop & Accessory,3,Single,4,1,8,193,0
31,9,5,Grocery,2,Single,5,1,4,262,0
16,14,3,Laptop & Accessory,4,Married,5,0,0,148,0
18,26,3,Laptop & Accessory,3,Single,9,0,1,148,0
3,12,4,Laptop & Accessory,1,Married,5,0,1,146,1
11,7,5,Mobile Phone,5,Divorced,4,0,3,164,0
0,5,4,Mobile,3,Single,2,0,2,130,0
20,9,4,Fashion,1,Married,5,0,,211,0
11,11,4,Mobile Phone,3,Divorced,9,1,4,155,0
0,22,3,Fashion,5,Single,3,1,0,186,1
10,13,2,Mobile Phone,1,Married,5,0,1,155,0
1,22,4,Mobile Phone,3,Married,3,0,3,151,1
9,24,4,Laptop & Accessory,5,Married,5,1,,215,0
1,6,4,Laptop & Accessory,1,Married,2,1,7,168,0
9,9,4,Laptop & Accessory,1,Married,4,0,8,183,0
2,10,4,Mobile Phone,4,Married,3,0,1,154,0
30,15,4,Mobile Phone,5,Married,6,1,3,168,0
12,23,4,Laptop & Accessory,4,Single,4,0,3,167,0
8,22,3,Fashion,3,Married,5,1,0,176,0
22,26,3,Laptop & Accessory,5,Married,2,0,11,166,0
8,33,3,Laptop & Accessory,3,Married,3,0,7,169,0
20,32,3,Others,3,Married,4,0,0,297,0
,9,4,Mobile Phone,3,Divorced,2,0,0,113,0
20,20,3,Laptop & Accessory,4,Married,9,0,7,155,0
0,10,3,Mobile,2,Single,2,1,2,129,0
28,24,4,Fashion,3,Married,10,0,9,232,0
22,7,2,Grocery,1,Single,4,0,2,294,0
16,21,4,Grocery,3,Married,2,0,11,276,0
7,9,5,Laptop & Accessory,1,Single,6,0,2,160,0
1,28,4,Mobile Phone,3,Married,3,0,1,149,1
,16,3,Mobile,3,Divorced,2,1,0,122,0
,14,4,Laptop & Accessory,4,Married,2,1,7,121,0
4,8,4,Laptop & Accessory,5,Divorced,4,0,0,164,0
25,13,5,Mobile Phone,3,Single,2,0,8,153,0
14,33,4,Laptop & Accessory,5,Married,3,0,6,209,0
4,9,4,Mobile Phone,4,Divorced,3,0,1,150,0
18,15,4,Laptop & Accessory,3,Divorced,2,0,12,156,0
10,10,5,Fashion,1,Married,6,0,,222,0
18,27,4,Mobile Phone,4,Single,3,0,4,159,0
11,17,4,Laptop & Accessory,4,Single,4,1,2,167,0
8,18,5,Laptop & Accessory,4,Married,6,0,9,170,0
22,,3,Mobile,5,Married,5,1,2,126,0
4,27,4,Laptop & Accessory,5,Married,2,0,,225,0
0,11,4,Fashion,2,Married,2,1,,228,0
18,35,4,Grocery,5,Married,5,0,18,288,0
13,11,4,Laptop & Accessory,3,Single,2,0,9,175,0
31,22,4,Grocery,3,Married,4,1,3,283,0
0,17,1,Laptop & Accessory,3,Married,9,0,2,147,1
1,25,2,Mobile Phone,5,Married,2,0,1,155,1
1,14,4,Mobile Phone,4,Single,3,1,1,150,1
20,22,4,Others,4,Divorced,7,0,4,316,0
4,11,3,Mobile Phone,1,Married,1,1,3,148,0
1,7,3,Mobile Phone,5,Married,2,0,2,136,0
8,22,4,Laptop & Accessory,4,Married,1,1,2,148,0
13,15,3,Laptop & Accessory,3,Married,4,0,7,140,0
1,16,4,Mobile Phone,4,Single,3,0,4,148,0
25,17,3,Laptop & Accessory,3,Divorced,9,0,4,131,0
19,11,6,Fashion,3,Married,6,0,,223,0
24,17,5,Fashion,1,Single,8,0,,230,0
0,22,5,Mobile Phone,5,Single,2,1,7,139,1
15,35,5,Grocery,4,Married,2,0,11,261,0
7,16,3,Laptop & Accessory,3,Married,2,1,7,140,0
19,6,3,Fashion,5,Married,2,0,7,205,0
11,6,4,Mobile,5,Single,5,0,0,129,0
24,7,4,Laptop & Accessory,3,Married,2,0,14,188,0
29,21,2,Others,4,Single,10,0,16,312,0
15,12,3,Fashion,5,Married,10,0,7,233,0
15,11,4,Fashion,3,Married,2,1,,229,0
4,14,3,Laptop & Accessory,1,Single,2,0,8,144,0
,12,4,Mobile,3,Married,1,0,3,122,0
0,8,4,Mobile,1,Single,8,0,0,128,1
7,6,1,Mobile,1,Single,3,0,3,133,0
2,11,4,Laptop & Accessory,3,Married,3,0,5,167,0
9,34,5,Mobile Phone,5,Single,3,0,2,151,0
4,8,3,Mobile,3,Married,1,0,2,131,0
10,18,5,Laptop & Accessory,1,Married,6,0,1,192,0
,26,3,Mobile,3,Divorced,5,0,0,123,0
7,32,4,Laptop & Accessory,3,Divorced,3,0,2,170,0
1,7,6,Mobile Phone,4,Single,9,1,8,147,1
0,9,4,Fashion,1,Married,2,1,7,203,1
19,11,4,Laptop & Accessory,4,Divorced,3,0,9,169,0
16,32,3,Grocery,1,Married,2,1,12,270,0
4,9,5,Mobile Phone,5,Single,2,0,8,175,0
16,36,4,Laptop & Accessory,3,Married,4,0,3,171,0
0,12,3,Mobile,5,Single,3,0,3,130,1
31,35,5,Fashion,5,Married,6,0,,228,0
30,13,1,Laptop & Accessory,1,Married,1,1,9,152,0
15,7,4,Laptop & Accessory,5,Married,2,0,8,166,0
6,9,4,Laptop & Accessory,3,Single,6,1,8,175,0
6,15,4,Fashion,2,Single,3,0,,215,0
30,13,3,Others,5,Divorced,6,0,10,296,0
6,13,3,Fashion,3,Divorced,1,0,,217,0
5,14,5,Mobile Phone,3,Divorced,5,0,3,148,0
1,27,3,Mobile,2,Divorced,2,0,2,127,0
7,9,4,Laptop & Accessory,1,Married,3,0,5,180,0
,28,3,Mobile,3,Married,5,1,1,121,1
1,13,4,Mobile Phone,1,Married,3,1,3,81,0
2,23,3,Laptop & Accessory,5,Single,2,0,8,182,0
16,36,4,Laptop & Accessory,3,Married,4,0,3,171,0
16,19,4,Mobile Phone,4,Married,10,0,5,153,0
19,9,1,Grocery,5,Married,3,0,8,232,0
16,14,2,Laptop & Accessory,4,Married,8,1,1,149,0
11,9,3,Laptop & Accessory,2,Single,9,1,0,169,0
10,21,4,Laptop & Accessory,1,Married,2,1,12,191,0
15,14,6,Others,3,Married,3,0,11,325,0
14,14,4,Others,4,Single,3,0,9,323,0
1,31,2,Mobile Phone,5,Single,3,0,1,136,1
23,8,3,Grocery,3,Married,6,0,3,276,0
13,32,3,Laptop & Accessory,4,Married,2,0,13,156,0
0,6,3,Mobile,4,Single,2,1,4,132,1
19,13,3,Laptop & Accessory,3,Married,3,0,0,153,0
8,,4,Mobile,1,Married,2,0,2,124,0
25,14,3,Mobile,5,Married,10,0,4,130,0
10,17,4,Fashion,2,Single,3,0,,225,0
1,7,6,Laptop & Accessory,4,Single,8,0,1,192,1
19,14,3,Laptop & Accessory,3,Divorced,6,0,3,189,0
6,31,3,Laptop & Accessory,3,Married,2,0,1,145,0
1,32,4,Laptop & Accessory,5,Married,2,0,4,147,0
16,12,4,Mobile Phone,3,Married,6,0,1,146,0
9,13,4,Mobile Phone,3,Divorced,2,1,3,160,0
1,26,3,Laptop & Accessory,2,Single,10,1,5,178,1
7,9,4,Mobile Phone,2,Single,2,0,3,150,0
1,25,2,Laptop & Accessory,3,Divorced,4,0,3,187,0
8,17,4,Mobile Phone,3,Divorced,3,1,1,147,0
,21,3,Mobile Phone,1,Single,2,0,0,112,0
17,9,5,Fashion,1,Married,2,0,,227,1
,15,4,Mobile,3,Single,2,0,8,122,0
7,12,5,Mobile Phone,1,Married,3,0,3,154,0
16,16,4,Mobile Phone,1,Single,3,0,9,162,0
3,16,4,Laptop & Accessory,3,Married,2,0,4,166,0
11,8,3,Mobile Phone,1,Single,6,1,2,139,0
11,,3,Mobile,5,Single,4,0,0,126,0
13,11,4,Fashion,5,Divorced,6,1,12,205,0
17,22,5,Grocery,3,Married,3,0,12,301,0
11,12,5,Laptop & Accessory,1,Married,8,1,9,153,0
7,15,4,Laptop & Accessory,3,Single,4,1,1,189,0
6,12,5,Laptop & Accessory,4,Married,5,0,6,184,0
11,10,3,Mobile,3,Married,8,0,0,133,0
15,32,3,Fashion,5,Married,4,1,0,232,0
13,35,5,Laptop & Accessory,5,Single,5,0,4,168,1
6,12,4,Mobile Phone,4,Single,4,0,8,152,0
7,8,3,Laptop & Accessory,1,Single,2,0,4,163,0
0,13,5,Laptop & Accessory,3,Single,2,1,6,161,1
16,9,5,Laptop & Accessory,2,Single,5,0,1,193,0
5,17,4,Laptop & Accessory,1,Married,4,1,5,191,0
19,8,3,Fashion,1,Married,5,1,3,204,0
,22,3,Mobile,3,Single,2,0,4,121,0
0,13,4,Laptop & Accessory,5,Single,9,0,7,168,0
20,31,4,Mobile Phone,1,Single,3,0,1,151,1
8,7,4,Laptop & Accessory,4,Married,3,0,4,168,0
12,8,4,Laptop & Accessory,1,Married,9,0,4,152,0
1,8,4,Mobile Phone,3,Married,3,0,2,137,0
4,13,3,Fashion,5,Married,3,0,2,196,0
9,7,5,Mobile Phone,5,Single,3,0,3,150,0
12,16,5,Mobile Phone,4,Divorced,2,0,3,154,0
25,7,4,Mobile Phone,2,Divorced,3,0,1,152,0
6,14,4,Laptop & Accessory,1,Married,6,0,,217,0
21,9,4,Grocery,1,Married,3,1,1,293,0
7,8,1,Mobile,1,Married,1,1,2,129,0
,31,5,Mobile,3,Single,2,0,1,123,1
7,12,3,Laptop & Accessory,3,Single,2,0,10,148,0
3,16,3,Fashion,3,Single,10,0,2,197,0
0,9,3,Mobile,5,Single,1,0,4,131,1
1,13,2,Mobile Phone,5,Married,3,1,1,141,1
13,8,3,Laptop & Accessory,4,Married,4,0,10,157,0
0,8,3,Mobile,4,Married,10,0,2,135,0
,30,3,Mobile,4,Single,2,0,4,122,0
17,11,4,Mobile,3,Single,4,0,3,132,0
8,,4,Mobile,5,Single,2,0,2,124,0
0,,5,Mobile,3,Married,1,0,0,124,1
14,15,4,Laptop & Accessory,1,Married,5,1,3,166,0
1,7,5,Fashion,3,Married,7,0,,231,1
9,9,6,Others,4,Single,4,1,12,313,1
0,15,4,Mobile,5,Single,8,0,3,134,1
20,33,5,Laptop & Accessory,4,Single,10,0,3,205,0
17,16,3,Laptop & Accessory,1,Married,3,1,3,165,0
17,35,2,Mobile Phone,3,Single,6,0,3,172,0
1,17,4,Fashion,3,Married,8,0,,225,1
16,12,4,Fashion,4,Single,11,1,,209,1
0,10,5,Fashion,2,Divorced,2,0,8,204,1
1,17,5,Mobile Phone,3,Single,3,0,3,151,1
0,6,3,Mobile Phone,4,Married,2,0,4,138,0
20,7,4,Others,2,Married,11,0,3,321,0
21,21,4,Laptop & Accessory,5,Single,4,0,8,175,0
29,15,4,Grocery,3,Married,4,1,3,273,0
23,7,4,Mobile Phone,5,Married,4,0,3,161,0
13,15,3,Fashion,3,Single,10,0,13,235,0
6,13,4,Mobile Phone,3,Single,5,0,5,155,0
4,14,4,Mobile Phone,5,Single,5,1,4,147,1
,6,3,Mobile,4,Single,2,0,1,121,0
5,9,5,Laptop & Accessory,5,Divorced,5,0,1,189,0
6,15,5,Laptop & Accessory,3,Single,9,0,3,153,1
3,10,4,Laptop & Accessory,4,Married,2,1,7,152,0
5,14,1,Laptop & Accessory,3,Divorced,6,0,3,152,0
1,6,5,Mobile Phone,3,Single,3,0,3,155,0
11,17,4,Mobile Phone,5,Married,2,1,4,153,0
10,25,3,Fashion,4,Single,2,1,9,176,0
27,9,5,Grocery,1,Married,4,0,8,279,0
11,,4,Mobile,4,Single,2,0,3,124,0
1,10,4,Mobile Phone,5,Single,2,0,5,156,1
27,13,4,Laptop & Accessory,1,Single,4,0,3,150,0
5,16,3,Laptop & Accessory,1,Single,2,0,8,154,0
17,6,4,Laptop & Accessory,3,Single,5,0,2,160,0
28,14,4,Grocery,4,Married,2,1,0,236,0
6,17,4,Laptop & Accessory,1,Single,3,0,9,179,0
1,7,5,Mobile Phone,4,Single,3,0,1,153,0
3,28,3,Fashion,5,Married,1,0,8,184,0
,23,5,Mobile,3,Married,2,0,2,123,0
16,12,4,Grocery,2,Married,5,1,0,266,0
14,9,5,Mobile Phone,3,Single,4,0,3,153,0
13,8,3,Mobile,5,Married,5,0,2,134,0
9,12,5,Mobile,3,Married,2,0,7,127,0
17,8,3,Fashion,3,Single,6,1,2,202,0
16,12,4,Grocery,1,Married,5,1,0,266,0
19,9,3,Grocery,3,Divorced,4,0,9,275,0
16,,3,Mobile,2,Single,1,0,7,125,0
6,31,3,Laptop & Accessory,3,Divorced,2,0,1,145,0
14,12,4,Laptop & Accessory,4,Single,7,1,2,160,0
8,13,4,Mobile,1,Married,2,0,1,127,0
9,16,3,Fashion,1,Single,2,0,7,200,0
18,13,3,Fashion,5,Married,3,0,0,197,0
0,8,3,Laptop & Accessory,1,Married,1,0,2,142,0
,7,3,Mobile Phone,3,Married,2,0,1,112,0
,10,3,Mobile,1,Married,2,0,0,120,0
3,13,5,Mobile Phone,4,Married,3,0,1,153,0
4,25,4,Mobile Phone,3,Single,3,0,5,151,0
11,7,5,Laptop & Accessory,3,Married,3,0,8,185,0
1,29,4,Mobile Phone,3,Divorced,6,1,2,146,1
16,30,3,Fashion,5,Single,7,1,2,204,1
7,16,1,Laptop & Accessory,1,Married,2,0,2,147,0
5,19,4,Mobile Phone,1,Married,10,1,3,164,0
1,25,4,Laptop & Accessory,3,Divorced,2,1,3,171,1
4,10,4,Mobile Phone,3,Married,3,0,1,146,0
15,12,3,Fashion,5,Married,10,0,7,233,0
,16,3,Mobile,4,Married,2,0,0,120,0
8,10,3,Laptop & Accessory,3,Single,2,1,1,142,0
0,,3,Mobile,5,Married,2,1,0,124,1
2,23,4,Fashion,5,Single,2,0,9,180,0
5,12,3,Laptop & Accessory,3,Single,2,0,7,150,0
0,26,3,Fashion,3,Married,4,0,0,198,1
1,19,5,Mobile Phone,5,Married,3,0,1,145,1
11,31,4,Fashion,4,Divorced,4,0,,221,0
2,9,3,Laptop & Accessory,3,Divorced,2,0,2,156,0
11,9,3,Laptop & Accessory,3,Single,4,1,2,143,0
11,7,4,Fashion,1,Married,4,1,3,261,0
15,8,3,Mobile,3,Married,1,1,0,127,0
4,34,4,Laptop & Accessory,2,Married,9,0,8,178,0
19,9,4,Laptop & Accessory,4,Married,2,0,8,173,0
0,,3,Mobile,3,Divorced,2,0,2,126,1
10,13,3,Fashion,3,Single,5,0,2,237,0
3,16,4,Mobile Phone,3,Married,11,0,3,155,0
7,30,4,Fashion,1,Single,3,1,13,260,0
21,12,4,Others,3,Married,6,0,2,308,0
19,8,3,Grocery,3,Married,7,0,1,279,0
4,9,5,Laptop & Accessory,1,Married,3,0,9,167,0
21,9,4,Laptop & Accessory,4,Married,9,0,1,175,0
1,36,6,Laptop & Accessory,5,Single,10,0,3,175,1
19,24,3,Laptop & Accessory,3,Married,3,0,8,148,0
51,7,2,Laptop & Accessory,3,Divorced,2,0,9,174,0
13,8,1,Laptop & Accessory,4,Divorced,2,0,7,142,0
8,31,4,Laptop & Accessory,2,Single,5,0,2,137,0
12,7,5,Laptop & Accessory,1,Single,6,0,,212,0
15,32,3,Grocery,4,Married,6,0,8,235,0
1,7,4,Mobile Phone,3,Single,2,0,6,146,1
0,11,3,Mobile Phone,1,Single,2,0,0,111,0
8,22,4,Fashion,4,Single,2,0,3,186,0
22,13,3,Fashion,4,Married,4,0,7,205,0
1,16,3,Laptop & Accessory,3,Single,4,0,7,137,0
9,15,4,Laptop & Accessory,3,Married,3,0,10,166,0
3,9,4,Laptop & Accessory,1,Married,3,0,,214,0
12,17,3,Fashion,2,Divorced,2,0,7,177,1
19,14,4,Mobile Phone,3,Divorced,6,1,3,170,0
19,27,4,Laptop & Accessory,3,Single,10,0,2,174,0
26,13,1,Grocery,3,Married,4,0,3,248,0
20,10,4,Fashion,4,Married,9,1,10,203,0
9,14,4,Mobile Phone,3,Married,3,0,1,149,0
13,15,3,Laptop & Accessory,3,Married,4,0,7,140,0
17,30,5,Mobile Phone,3,Single,3,0,4,137,0
8,17,4,Mobile Phone,3,Single,3,1,3,154,1
7,,3,Mobile,4,Married,2,1,3,123,1
1,22,4,Mobile Phone,1,Single,3,0,1,137,0
12,24,3,Laptop & Accessory,3,Single,1,0,7,145,0
9,7,4,Fashion,4,Divorced,3,0,7,198,0
2,,3,Mobile,3,Single,2,0,0,126,0
4,9,4,Mobile Phone,4,Married,3,0,1,150,0
29,8,2,Grocery,1,Married,4,0,1,272,0
1,14,4,Mobile Phone,3,Divorced,3,1,3,154,1
20,20,4,Laptop & Accessory,4,Single,8,0,10,181,0
1,31,2,Mobile Phone,5,Single,3,0,1,136,1
10,7,4,Laptop & Accessory,1,Married,2,0,11,165,0
1,7,4,Laptop & Accessory,4,Divorced,2,1,5,188,0
9,9,5,Fashion,4,Married,4,0,,228,0
4,30,4,Laptop & Accessory,5,Single,2,0,8,168,0
